epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,792.367,0.95873,0.94884,1.14602,0.49803,0.58782,0.52263,0.33542,1.57378,2.08361,1.77875,0.00113898,0.00113898,0.00113898
43,810.601,0.98885,0.93147,1.14513,0.5172,0.47562,0.45613,0.34451,1.43086,2.32415,1.61327,0.00113191,0.00113191,0.00113191
44,829.646,0.97248,0.93343,1.11803,0.57675,0.37059,0.49007,0.3678,1.38728,2.16536,1.63119,0.00112484,0.00112484,0.00112484
45,848.287,0.98537,0.90352,1.1167,0.44236,0.46558,0.4481,0.31604,1.31646,2.25113,1.56134,0.00111776,0.00111776,0.00111776
46,866.941,0.94567,0.86764,1.10932,0.45917,0.41082,0.41736,0.31957,1.37782,1.75711,1.61178,0.00111069,0.00111069,0.00111069
47,886.381,0.96697,0.89967,1.12108,0.79173,0.34515,0.45124,0.32912,1.36324,2.15729,1.59457,0.00110362,0.00110362,0.00110362
48,904.736,0.96626,0.90689,1.12308,0.50067,0.37937,0.39712,0.29515,1.55767,2.04972,1.72642,0.00109654,0.00109654,0.00109654
49,924.488,0.9522,0.87887,1.10995,0.64261,0.46567,0.52708,0.38528,1.49054,1.93382,1.69023,0.00108947,0.00108947,0.00108947
50,943.053,0.91244,0.86066,1.12567,0.56,0.42016,0.48637,0.36312,1.4789,2.11236,1.76133,0.0010824,0.0010824,0.0010824
51,962.236,0.93983,0.87611,1.11805,0.59106,0.48481,0.52875,0.3516,1.46087,2.33077,1.66669,0.00107532,0.00107532,0.00107532
52,980.863,0.88616,0.84208,1.10125,0.52068,0.48198,0.4426,0.32433,1.26248,2.10742,1.469,0.00106825,0.00106825,0.00106825
53,999.337,0.90271,0.80875,1.086,0.68223,0.50468,0.55142,0.41043,1.36966,1.96331,1.54471,0.00106118,0.00106118,0.00106118
54,1019.13,0.87815,0.80128,1.10058,0.38685,0.31993,0.33238,0.24343,1.40162,2.14102,1.55273,0.0010541,0.0010541,0.0010541
55,1037.91,0.91247,0.82719,1.1063,0.79724,0.54179,0.61384,0.40633,1.34838,1.82891,1.54957,0.00104703,0.00104703,0.00104703
56,1057.15,0.88948,0.80286,1.09351,0.52885,0.57715,0.49107,0.34421,1.36979,1.64995,1.57549,0.00103995,0.00103995,0.00103995
57,1075.93,0.90131,0.80401,1.07884,0.67206,0.60369,0.61297,0.36246,1.60503,2.21027,1.86855,0.00103288,0.00103288,0.00103288
58,1094.33,0.89459,0.7796,1.07754,0.53199,0.48105,0.473,0.33833,1.36186,1.94899,1.50376,0.00102581,0.00102581,0.00102581
