epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,902.581,0.75149,0.81535,1.04255,0.48944,0.52319,0.48582,0.36195,0.93148,1.75093,1.08438,0.00113898,0.00113898,0.00113898
43,925.04,0.75911,0.79892,1.04104,0.46406,0.48499,0.43255,0.28293,0.97663,2.00647,1.13278,0.00113191,0.00113191,0.00113191
44,945.82,0.7527,0.79339,1.02703,0.44731,0.4822,0.39149,0.26668,1.00571,2.31077,1.17568,0.00112484,0.00112484,0.00112484
45,968.2,0.73175,0.78086,1.02154,0.61577,0.47619,0.53307,0.35869,0.85878,3.20567,1.03122,0.00111776,0.00111776,0.00111776
46,990.189,0.74177,0.75267,1.04055,0.47177,0.50845,0.43924,0.29473,0.92006,3.16382,1.1493,0.00111069,0.00111069,0.00111069
47,1011.18,0.741,0.7753,1.03605,0.46318,0.52762,0.41604,0.25614,0.94528,2.53398,1.10439,0.00110362,0.00110362,0.00110362
48,1032.59,0.70243,0.74653,1.0201,0.52805,0.51238,0.49329,0.34396,0.95589,1.9292,1.14782,0.00109654,0.00109654,0.00109654
49,1053.77,0.70782,0.72279,1.00874,0.56328,0.5464,0.54076,0.39689,0.89742,1.42491,1.09238,0.00108947,0.00108947,0.00108947
50,1076.24,0.70178,0.72667,1.0111,0.44304,0.56092,0.4696,0.32681,0.88481,2.464,1.08246,0.0010824,0.0010824,0.0010824
51,1098.72,0.68093,0.69154,1.01293,0.59596,0.4702,0.47103,0.32922,0.87696,1.54081,1.08579,0.00107532,0.00107532,0.00107532
52,1120.39,0.73685,0.7629,1.02281,0.46086,0.55208,0.49718,0.36504,0.87754,2.22024,1.06799,0.00106825,0.00106825,0.00106825
53,1142.48,0.72426,0.70478,1.01218,0.50885,0.46259,0.44481,0.32504,0.91315,1.76118,1.11846,0.00106118,0.00106118,0.00106118
54,1165.04,0.70152,0.72706,1.01161,0.56542,0.45919,0.4615,0.29067,0.96535,2.70183,1.13332,0.0010541,0.0010541,0.0010541
55,1186.15,0.72132,0.70143,1.02019,0.3796,0.6438,0.48073,0.33297,0.93011,2.42672,1.13481,0.00104703,0.00104703,0.00104703
56,1209.17,0.70569,0.71563,1.00714,0.41411,0.52628,0.44804,0.32362,0.90157,2.61925,1.16205,0.00103995,0.00103995,0.00103995
57,1231.15,0.67522,0.65605,1.00437,0.41722,0.52792,0.44308,0.29737,0.90617,2.73855,1.11408,0.00103288,0.00103288,0.00103288
58,1252.45,0.71379,0.70676,0.99624,0.45825,0.49969,0.45106,0.32547,0.95694,1.58319,1.1578,0.00102581,0.00102581,0.00102581
59,1275.08,0.65915,0.66411,0.98571,0.43333,0.42444,0.35806,0.23187,0.9782,1.73619,1.20577,0.00101873,0.00101873,0.00101873
60,1296.83,0.66973,0.67158,0.99175,0.50495,0.40804,0.40841,0.28141,0.96861,1.60824,1.18162,0.00101166,0.00101166,0.00101166
61,1319.05,0.67418,0.64266,0.99457,0.52315,0.53989,0.49919,0.35685,0.91121,3.69902,1.09243,0.00100459,0.00100459,0.00100459
62,1340.92,0.66698,0.65371,0.98789,0.58681,0.48237,0.44914,0.3284,0.87938,2.58644,1.10098,0.000997513,0.000997513,0.000997513
63,1361.81,0.65842,0.63718,0.99279,0.54226,0.49027,0.42691,0.3097,0.89688,3.52389,1.06227,0.00099044,0.00099044,0.00099044
64,1384.51,0.63724,0.6464,0.98398,0.43659,0.57925,0.452,0.33106,0.80165,3.50682,1.01948,0.000983366,0.000983366,0.000983366
65,1406.66,0.66184,0.63638,0.98271,0.44057,0.5102,0.43199,0.29476,0.90119,1.73069,1.09209,0.000976293,0.000976293,0.000976293
66,1428.86,0.65117,0.62408,0.98314,0.51796,0.42857,0.4289,0.29318,0.92399,2.3075,1.09924,0.000969219,0.000969219,0.000969219
67,1450.84,0.64937,0.63147,0.99114,0.56637,0.40507,0.43553,0.31874,0.90052,2.0185,1.07631,0.000962146,0.000962146,0.000962146
68,1472.95,0.66667,0.66492,0.99676,0.48219,0.53028,0.42989,0.31941,0.82857,1.99113,1.02348,0.000955072,0.000955072,0.000955072
69,1494.55,0.64271,0.63824,0.97987,0.61811,0.58552,0.56547,0.4049,0.83938,1.70921,1.03405,0.000947999,0.000947999,0.000947999
70,1517.06,0.63827,0.57942,0.97667,0.30796,0.54051,0.41548,0.28014,0.84742,2.19292,1.03968,0.000940925,0.000940925,0.000940925
71,1537.6,0.61746,0.57414,0.96625,0.62869,0.46336,0.47826,0.35607,0.80906,2.46942,1.00929,0.000933851,0.000933851,0.000933851
72,1559.77,0.62391,0.60038,0.98879,0.55902,0.47195,0.4831,0.36128,0.89318,1.64156,1.10778,0.000926778,0.000926778,0.000926778
73,1582.5,0.62721,0.59201,0.96908,0.47057,0.52136,0.42426,0.2977,0.93954,3.43605,1.11787,0.000919704,0.000919704,0.000919704
74,1603.19,0.60337,0.58401,0.97223,0.63183,0.45795,0.50193,0.39904,0.80505,1.59573,1.02687,0.000912631,0.000912631,0.000912631
75,1625.36,0.62172,0.58077,0.95686,0.49879,0.57081,0.48767,0.36496,0.86099,1.42817,1.0679,0.000905557,0.000905557,0.000905557
76,1647.04,0.62963,0.59697,0.96962,0.49796,0.45439,0.45001,0.34756,0.91011,1.69538,1.11812,0.000898484,0.000898484,0.000898484
77,1668.44,0.62556,0.58663,0.96717,0.68751,0.42279,0.52536,0.37073,0.83284,1.62804,1.03393,0.00089141,0.00089141,0.00089141
78,1690.89,0.65363,0.59093,0.97246,0.57897,0.38351,0.3997,0.2936,0.91906,1.83412,1.14909,0.000884337,0.000884337,0.000884337
79,1711.85,0.61422,0.57815,0.96573,0.51006,0.48609,0.4807,0.32933,0.86695,1.61482,1.09071,0.000877263,0.000877263,0.000877263
80,1734.25,0.60139,0.57096,0.97391,0.65744,0.56512,0.57166,0.43759,0.79635,1.17937,1.02653,0.00087019,0.00087019,0.00087019
81,1755.68,0.58417,0.53617,0.95419,0.55036,0.42857,0.46368,0.34989,0.87022,1.34802,1.06711,0.000863116,0.000863116,0.000863116
82,1776.3,0.62041,0.57462,0.96177,0.57315,0.5337,0.4905,0.36249,0.78955,1.14959,1.00862,0.000856042,0.000856042,0.000856042
83,1798.47,0.59661,0.54598,0.95793,0.55501,0.47756,0.481,0.33181,0.86363,1.47907,1.11484,0.000848969,0.000848969,0.000848969
84,1819.33,0.60096,0.56066,0.9667,0.59305,0.51574,0.48302,0.35984,0.88536,2.32252,1.08673,0.000841895,0.000841895,0.000841895
85,1841.52,0.62314,0.56712,0.95763,0.50066,0.57699,0.499,0.37029,0.81496,2.0232,1.01674,0.000834822,0.000834822,0.000834822
86,1863.91,0.59984,0.5424,0.96062,0.39911,0.4799,0.4295,0.30744,0.86945,1.47097,1.04277,0.000827748,0.000827748,0.000827748
87,1884.54,0.60476,0.55964,0.96574,0.55663,0.46939,0.46978,0.3246,0.91543,1.40335,1.1533,0.000820675,0.000820675,0.000820675
88,1906.77,0.58322,0.53807,0.96029,0.66351,0.33766,0.46153,0.33175,0.85242,1.86035,1.03549,0.000813601,0.000813601,0.000813601
89,1930.2,0.56631,0.51331,0.95158,0.40888,0.58751,0.42866,0.31043,0.82123,1.50192,1.05824,0.000806528,0.000806528,0.000806528
90,1952.41,0.6213,0.55426,0.96059,0.38329,0.58751,0.43957,0.32189,0.84719,1.56483,1.05237,0.000799454,0.000799454,0.000799454
91,1975.37,0.5597,0.51322,0.93708,0.65299,0.38466,0.45382,0.34691,0.79543,1.83593,1.03038,0.00079238,0.00079238,0.00079238
92,1998.22,0.57988,0.51064,0.94443,0.55018,0.41345,0.43319,0.31778,0.85835,3.30067,1.02422,0.000785307,0.000785307,0.000785307
93,2019.85,0.58984,0.53324,0.95876,0.59652,0.41875,0.5032,0.37375,0.81869,1.76052,1.00068,0.000778233,0.000778233,0.000778233
94,2042.83,0.58677,0.5228,0.95236,0.48045,0.46259,0.43789,0.31552,0.86119,1.66633,1.04556,0.00077116,0.00077116,0.00077116
95,2065.08,0.56725,0.51955,0.94433,0.60803,0.5113,0.54159,0.383,0.82772,1.39915,1.03065,0.000764086,0.000764086,0.000764086
96,2086.48,0.57394,0.51715,0.94143,0.48934,0.49969,0.47254,0.33366,0.86648,1.45323,1.09496,0.000757013,0.000757013,0.000757013
97,2109.43,0.5734,0.50497,0.94209,0.47411,0.61781,0.5137,0.35903,0.85596,1.74355,1.0766,0.000749939,0.000749939,0.000749939
98,2132.65,0.56024,0.51616,0.94535,0.61838,0.50278,0.4924,0.38613,0.81592,1.53061,1.03682,0.000742866,0.000742866,0.000742866
99,2153.77,0.59505,0.5162,0.95268,0.54825,0.49289,0.44937,0.33109,0.83288,1.29215,1.01988,0.000735792,0.000735792,0.000735792
100,2175.59,0.5922,0.51729,0.95042,0.5531,0.43763,0.46334,0.3276,0.84677,3.26748,1.04622,0.000728719,0.000728719,0.000728719
101,2197.99,0.54146,0.48883,0.93992,0.41925,0.63715,0.44561,0.34396,0.84122,2.05364,1.03576,0.000721645,0.000721645,0.000721645
102,2219.25,0.56875,0.50337,0.93649,0.5378,0.45578,0.43909,0.33184,0.87009,2.35277,1.08932,0.000714571,0.000714571,0.000714571
103,2241.34,0.53015,0.50627,0.95131,0.4162,0.45887,0.3902,0.2888,0.93274,2.20207,1.19638,0.000707498,0.000707498,0.000707498
104,2262.91,0.60542,0.51197,0.95259,0.48155,0.48202,0.47256,0.33276,0.88577,1.51477,1.08049,0.000700424,0.000700424,0.000700424
105,2284.58,0.5476,0.48675,0.94543,0.59549,0.49866,0.51242,0.38076,0.86366,1.4728,1.11008,0.000693351,0.000693351,0.000693351
106,2306.68,0.55495,0.50842,0.94357,0.48312,0.52009,0.51455,0.37795,0.82174,1.74297,1.07849,0.000686277,0.000686277,0.000686277
107,2327.28,0.56352,0.49454,0.93491,0.49424,0.52152,0.4595,0.33275,0.82224,1.60396,1.0869,0.000679204,0.000679204,0.000679204
108,2349.03,0.52639,0.46064,0.93961,0.48481,0.55163,0.45056,0.31456,0.82043,2.06959,1.06933,0.00067213,0.00067213,0.00067213
109,2370.91,0.53268,0.47444,0.92927,0.69751,0.40816,0.49118,0.36766,0.80214,1.43779,1.02338,0.000665057,0.000665057,0.000665057
110,2391.96,0.54278,0.47946,0.93443,0.58738,0.50278,0.48152,0.34455,0.80401,2.29528,1.01871,0.000657983,0.000657983,0.000657983
111,2414.08,0.53524,0.46757,0.94309,0.56602,0.45753,0.47077,0.32171,0.86088,2.03284,1.06569,0.000650909,0.000650909,0.000650909
112,2435.48,0.54252,0.45832,0.93725,0.44334,0.55681,0.48837,0.3533,0.79164,1.75539,1.02573,0.000643836,0.000643836,0.000643836
113,2457.12,0.52972,0.4514,0.92313,0.50998,0.50647,0.44404,0.31923,0.80716,1.76021,1.00371,0.000636762,0.000636762,0.000636762
114,2479.71,0.56271,0.47803,0.93501,0.60569,0.52548,0.4917,0.34971,0.80465,2.02908,1.02614,0.000629689,0.000629689,0.000629689
115,2500.04,0.52821,0.46093,0.93094,0.44653,0.51701,0.50163,0.35916,0.82459,1.52877,1.05507,0.000622615,0.000622615,0.000622615
116,2521.99,0.55886,0.48894,0.94415,0.67231,0.54597,0.53749,0.40721,0.80196,2.02417,0.98629,0.000615542,0.000615542,0.000615542
117,2543.05,0.52421,0.45127,0.92409,0.61803,0.41868,0.48238,0.34887,0.80105,1.65635,1.04613,0.000608468,0.000608468,0.000608468
118,2565.2,0.51554,0.44084,0.92414,0.49009,0.44238,0.44229,0.35113,0.82098,1.62721,1.04648,0.000601395,0.000601395,0.000601395
119,2587,0.54217,0.45495,0.92753,0.59216,0.46854,0.50623,0.39555,0.81725,2.25643,1.05434,0.000594321,0.000594321,0.000594321
120,2607.79,0.52823,0.45287,0.93284,0.47008,0.53989,0.48573,0.39026,0.7726,1.60563,1.02328,0.000587248,0.000587248,0.000587248
121,2629.64,0.54362,0.46228,0.92913,0.43149,0.48918,0.45637,0.36454,0.81946,3.04525,1.05835,0.000580174,0.000580174,0.000580174
