epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,211.755,0.92777,1.04872,1.16439,0.72293,0.42252,0.49186,0.32533,1.55853,2.08353,1.88222,0.00113898,0.00113898,0.00113898
43,217.126,0.89652,1.08375,1.18829,0.72865,0.39867,0.4642,0.31074,1.60887,2.36398,1.95102,0.00113191,0.00113191,0.00113191
44,222.111,0.94533,1.07052,1.19647,0.68285,0.30792,0.39642,0.26189,1.55219,2.17217,1.90215,0.00112484,0.00112484,0.00112484
45,226.561,0.93623,1.08509,1.20196,0.64487,0.48768,0.51499,0.31011,1.41389,2.07789,1.84749,0.00111776,0.00111776,0.00111776
46,231.67,0.92498,1.0592,1.1753,0.58972,0.49524,0.49056,0.31488,1.37971,2.25262,1.79036,0.00111069,0.00111069,0.00111069
47,236.215,0.91718,1.09912,1.18274,0.57336,0.45359,0.49081,0.32111,1.47186,2.04555,1.84813,0.00110362,0.00110362,0.00110362
48,241.35,0.91413,1.04072,1.17274,0.62986,0.57424,0.5809,0.39458,1.27733,1.91491,1.59321,0.00109654,0.00109654,0.00109654
49,246.648,0.94179,1.07791,1.19531,0.61958,0.50862,0.53575,0.34805,1.34404,1.98126,1.69583,0.00108947,0.00108947,0.00108947
50,251.001,0.88366,0.99567,1.17593,0.63922,0.41802,0.45499,0.30788,1.41596,2.21766,1.73513,0.0010824,0.0010824,0.0010824
51,256.075,0.88416,0.97805,1.17649,0.56153,0.55829,0.53036,0.37491,1.44833,2.08285,1.75347,0.00107532,0.00107532,0.00107532
52,260.878,0.8933,0.97302,1.13852,0.71049,0.50891,0.52957,0.36443,1.36509,1.78709,1.66666,0.00106825,0.00106825,0.00106825
53,265.458,0.94818,1.05377,1.19789,0.6052,0.52016,0.53481,0.36207,1.34644,2.07558,1.67446,0.00106118,0.00106118,0.00106118
54,270.718,0.89038,1.00798,1.19232,0.63651,0.59145,0.56828,0.39417,1.28047,1.80732,1.61164,0.0010541,0.0010541,0.0010541
55,275.509,0.83971,0.9575,1.16263,0.68011,0.5482,0.56467,0.39335,1.19656,1.71334,1.52809,0.00104703,0.00104703,0.00104703
56,280.347,0.86841,0.91673,1.14335,0.66504,0.52065,0.55937,0.38977,1.36886,1.64981,1.64044,0.00103995,0.00103995,0.00103995
57,285.591,0.89179,0.93452,1.15331,0.64242,0.49768,0.53605,0.37093,1.55297,1.83418,1.79572,0.00103288,0.00103288,0.00103288
58,290.168,0.89825,0.91701,1.1479,0.7481,0.51699,0.5818,0.4203,1.39208,1.79742,1.69518,0.00102581,0.00102581,0.00102581
59,295.361,0.86338,0.92301,1.14226,0.75527,0.55828,0.61969,0.44143,1.30455,1.76612,1.63371,0.00101873,0.00101873,0.00101873
60,300.647,0.89167,0.93146,1.15731,0.68068,0.55521,0.58624,0.42335,1.24107,1.92453,1.53633,0.00101166,0.00101166,0.00101166
61,305.154,0.8144,0.87916,1.12258,0.65478,0.57412,0.59078,0.41527,1.32854,1.82212,1.57372,0.00100459,0.00100459,0.00100459
62,310.218,0.84671,0.88742,1.13365,0.67401,0.49112,0.56608,0.3995,1.13038,1.75259,1.47944,0.000997513,0.000997513,0.000997513
63,314.618,0.80135,0.86346,1.13299,0.70198,0.54805,0.60127,0.4025,1.2072,1.57988,1.59242,0.00099044,0.00099044,0.00099044
64,319.363,0.83546,0.87419,1.12494,0.66408,0.53651,0.5873,0.39863,1.37453,1.82607,1.7127,0.000983366,0.000983366,0.000983366
65,324.747,0.81455,0.8325,1.11442,0.71722,0.54869,0.61645,0.41551,1.34489,1.65244,1.68573,0.000976293,0.000976293,0.000976293
66,329.337,0.77368,0.79832,1.09768,0.7318,0.59915,0.65918,0.43818,1.32613,1.596,1.66725,0.000969219,0.000969219,0.000969219
67,334.747,0.8153,0.83757,1.12479,0.75934,0.59497,0.67635,0.48136,1.20078,1.48658,1.53353,0.000962146,0.000962146,0.000962146
68,340.091,0.80568,0.79238,1.10175,0.63701,0.60262,0.6362,0.46933,1.10342,1.67347,1.44307,0.000955072,0.000955072,0.000955072
69,344.624,0.81148,0.84984,1.12405,0.80028,0.53034,0.61612,0.42384,1.18471,1.585,1.54241,0.000947999,0.000947999,0.000947999
70,349.807,0.80377,0.86531,1.12234,0.7025,0.61425,0.65833,0.45685,1.18886,1.4379,1.54976,0.000940925,0.000940925,0.000940925
71,354.48,0.80069,0.84116,1.10196,0.71957,0.56001,0.65421,0.4699,1.14231,1.60575,1.54194,0.000933851,0.000933851,0.000933851
72,359.299,0.79581,0.78266,1.09631,0.6413,0.54968,0.58047,0.41317,1.22567,1.70108,1.62514,0.000926778,0.000926778,0.000926778
73,364.553,0.82296,0.85409,1.11748,0.6864,0.56319,0.62296,0.42215,1.08692,1.59063,1.43556,0.000919704,0.000919704,0.000919704
74,369.129,0.78747,0.80327,1.10614,0.72229,0.53466,0.62875,0.45277,1.10328,1.63113,1.422,0.000912631,0.000912631,0.000912631
75,374.187,0.78966,0.80105,1.10266,0.75294,0.55043,0.6152,0.4493,1.23758,1.67719,1.54576,0.000905557,0.000905557,0.000905557
76,379.508,0.76622,0.77578,1.08553,0.70014,0.56816,0.58819,0.45254,1.14781,1.60731,1.50519,0.000898484,0.000898484,0.000898484
77,383.959,0.76705,0.77227,1.06636,0.75339,0.51969,0.584,0.43692,1.22017,1.60128,1.62202,0.00089141,0.00089141,0.00089141
78,389.143,0.78071,0.815,1.1014,0.71933,0.54911,0.59424,0.42533,1.25202,1.76788,1.6646,0.000884337,0.000884337,0.000884337
79,393.732,0.78746,0.78808,1.10619,0.73173,0.5,0.59389,0.41672,1.36864,1.75521,1.77695,0.000877263,0.000877263,0.000877263
80,398.551,0.75006,0.78511,1.08439,0.72494,0.54209,0.58921,0.42507,1.22071,1.72704,1.58972,0.00087019,0.00087019,0.00087019
81,403.83,0.74228,0.75292,1.08025,0.83452,0.51796,0.62411,0.45989,1.14336,1.60599,1.49873,0.000863116,0.000863116,0.000863116
82,408.604,0.72925,0.75469,1.06305,0.78254,0.62299,0.6496,0.4647,1.11822,1.45936,1.5229,0.000856042,0.000856042,0.000856042
83,413.564,0.74772,0.75292,1.09755,0.76209,0.51068,0.59271,0.43618,1.22232,1.50694,1.58162,0.000848969,0.000848969,0.000848969
84,418.775,0.74063,0.76215,1.08653,0.70916,0.58225,0.61303,0.44421,1.22293,1.488,1.65344,0.000841895,0.000841895,0.000841895
85,423.231,0.74857,0.75031,1.09528,0.7565,0.55756,0.62479,0.44316,1.09259,1.46752,1.46779,0.000834822,0.000834822,0.000834822
86,428.555,0.73192,0.78108,1.08,0.73948,0.58127,0.61693,0.45899,1.09356,1.46573,1.45364,0.000827748,0.000827748,0.000827748
87,433.346,0.68967,0.72033,1.04937,0.67908,0.62883,0.60242,0.44109,1.07421,1.56691,1.46174,0.000820675,0.000820675,0.000820675
88,438.258,0.73987,0.73301,1.07981,0.72011,0.60129,0.61313,0.44409,1.2159,1.51746,1.58267,0.000813601,0.000813601,0.000813601
89,443.135,0.72122,0.75969,1.07247,0.70777,0.58378,0.62334,0.43146,1.30065,1.60073,1.67106,0.000806528,0.000806528,0.000806528
90,447.949,0.72462,0.69926,1.05883,0.76922,0.56294,0.64354,0.45705,1.14805,1.54158,1.47039,0.000799454,0.000799454,0.000799454
91,452.952,0.7621,0.75197,1.09648,0.74782,0.55437,0.60726,0.43771,1.14585,1.72314,1.4577,0.00079238,0.00079238,0.00079238
92,458.151,0.68773,0.68883,1.04405,0.72126,0.54241,0.60949,0.43317,1.16662,1.74188,1.46991,0.000785307,0.000785307,0.000785307
93,462.622,0.68019,0.6957,1.07498,0.67763,0.56023,0.6185,0.43952,1.1538,1.61488,1.54162,0.000778233,0.000778233,0.000778233
94,468.016,0.73136,0.73348,1.08084,0.7332,0.62889,0.65662,0.48176,1.07223,1.43668,1.46552,0.00077116,0.00077116,0.00077116
95,473.199,0.68565,0.69486,1.04884,0.76631,0.61334,0.6732,0.50441,1.07128,1.30096,1.44143,0.000764086,0.000764086,0.000764086
96,477.895,0.65522,0.63453,1.03246,0.81646,0.56525,0.67265,0.51211,1.06532,1.35077,1.40843,0.000757013,0.000757013,0.000757013
97,482.923,0.74798,0.72181,1.08507,0.73842,0.56408,0.63633,0.47068,1.10826,1.55854,1.44404,0.000749939,0.000749939,0.000749939
98,487.758,0.68761,0.7006,1.07733,0.79614,0.54925,0.64175,0.4766,1.2294,1.68907,1.56488,0.000742866,0.000742866,0.000742866
99,493.198,0.69578,0.7031,1.05859,0.79032,0.55449,0.63297,0.47136,1.24939,1.79767,1.64222,0.000735792,0.000735792,0.000735792
100,498.496,0.68843,0.68736,1.07668,0.77062,0.57359,0.63339,0.46512,1.18091,1.50469,1.59131,0.000728719,0.000728719,0.000728719
101,502.773,0.72224,0.70293,1.0709,0.78627,0.5738,0.64506,0.47336,1.19131,1.39975,1.57607,0.000721645,0.000721645,0.000721645
102,508.093,0.69734,0.70427,1.06209,0.73221,0.57079,0.63278,0.4668,1.13308,1.60287,1.45499,0.000714571,0.000714571,0.000714571
103,512.705,0.72396,0.68507,1.05816,0.79171,0.56993,0.65882,0.48475,1.12243,1.56467,1.48031,0.000707498,0.000707498,0.000707498
104,517.497,0.6443,0.63873,1.02383,0.81051,0.58829,0.675,0.48922,1.10381,1.47448,1.47441,0.000700424,0.000700424,0.000700424
105,522.799,0.67354,0.68554,1.07474,0.80899,0.60091,0.663,0.49248,1.09385,1.43813,1.42949,0.000693351,0.000693351,0.000693351
106,527.689,0.66844,0.67971,1.02924,0.76683,0.58401,0.64658,0.48735,1.15062,1.50512,1.50242,0.000686277,0.000686277,0.000686277
107,532.508,0.69863,0.68599,1.05945,0.69095,0.58983,0.61937,0.45603,1.11412,1.56977,1.47728,0.000679204,0.000679204,0.000679204
108,537.754,0.64941,0.61952,1.01977,0.76634,0.58738,0.64296,0.47551,1.0992,1.26019,1.53939,0.00067213,0.00067213,0.00067213
109,542.491,0.65736,0.65178,1.04775,0.80436,0.57825,0.66833,0.48463,1.19271,1.19961,1.59774,0.000665057,0.000665057,0.000665057
