epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,223.521,0.71351,0.86516,1.02829,0.69555,0.64642,0.70382,0.49685,1.06687,1.47001,1.46972,0.00104231,0.00104231,0.00104231
43,228.471,0.71322,0.91169,1.04535,0.72141,0.60369,0.67525,0.51449,0.99411,1.40571,1.36032,0.00103288,0.00103288,0.00103288
44,234.173,0.73105,0.93888,1.03262,0.74155,0.65706,0.70806,0.52198,1.00014,1.26756,1.34138,0.00102345,0.00102345,0.00102345
45,239.072,0.71277,0.86533,1.0327,0.71143,0.66029,0.67722,0.50787,1.03133,1.35484,1.39959,0.00101402,0.00101402,0.00101402
46,243.771,0.70917,0.88535,1.03126,0.752,0.56814,0.64149,0.47332,1.05695,1.42346,1.44825,0.00100459,0.00100459,0.00100459
47,249.922,0.74109,0.94058,1.05859,0.70464,0.60324,0.65081,0.45155,1.04578,1.70187,1.50787,0.000995156,0.000995156,0.000995156
48,255.023,0.7534,0.91683,1.02402,0.71618,0.66976,0.65935,0.50664,1.04656,1.63844,1.45785,0.000985724,0.000985724,0.000985724
49,260.519,0.67508,0.84473,0.99673,0.77791,0.65326,0.69789,0.51308,1.02225,1.44503,1.44611,0.000976293,0.000976293,0.000976293
50,265.41,0.69742,0.85239,1.04903,0.67376,0.60227,0.62555,0.45354,1.06409,1.51965,1.419,0.000966861,0.000966861,0.000966861
51,269.711,0.69667,0.86521,1.05145,0.76214,0.6203,0.69397,0.50657,0.99037,1.43996,1.36578,0.00095743,0.00095743,0.00095743
52,276.024,0.71358,0.8674,1.0232,0.76484,0.56303,0.63441,0.47548,0.91291,1.7285,1.35016,0.000947999,0.000947999,0.000947999
53,280.935,0.64736,0.79303,0.99409,0.78134,0.58651,0.63448,0.47235,1.03382,1.63463,1.45157,0.000938567,0.000938567,0.000938567
54,286.604,0.67289,0.83749,1.02108,0.77101,0.62169,0.69007,0.52284,0.938,1.554,1.33644,0.000929136,0.000929136,0.000929136
55,291.674,0.67446,0.78773,1.00573,0.7653,0.60337,0.66889,0.48036,0.9418,1.57727,1.34492,0.000919704,0.000919704,0.000919704
56,296.666,0.66214,0.77218,0.99238,0.73024,0.60719,0.67375,0.47975,0.99407,1.69655,1.43386,0.000910273,0.000910273,0.000910273
57,302.607,0.68198,0.80786,1.02288,0.81072,0.57399,0.69581,0.48908,1.0462,1.50884,1.44732,0.000900842,0.000900842,0.000900842
58,307.396,0.64038,0.75292,0.98563,0.73936,0.69856,0.73555,0.54276,0.96723,1.162,1.33429,0.00089141,0.00089141,0.00089141
59,312.936,0.65488,0.78555,1.00371,0.7254,0.62714,0.70063,0.49641,1.06169,1.26551,1.4319,0.000881979,0.000881979,0.000881979
60,318.786,0.66447,0.7247,1.00112,0.66698,0.69437,0.70729,0.53283,1.03941,1.37874,1.4315,0.000872547,0.000872547,0.000872547
61,323.494,0.58317,0.67816,0.98253,0.83336,0.66527,0.7553,0.57601,0.98582,1.27351,1.41642,0.000863116,0.000863116,0.000863116
62,329.434,0.6144,0.74495,0.98279,0.81296,0.68155,0.74113,0.53993,1.04686,1.38412,1.44945,0.000853685,0.000853685,0.000853685
63,333.938,0.62222,0.71128,1.00398,0.67726,0.66452,0.69109,0.49721,1.01607,1.51998,1.42832,0.000844253,0.000844253,0.000844253
64,339.399,0.65402,0.74092,0.98404,0.71516,0.62746,0.67369,0.4793,1.04921,1.50162,1.41221,0.000834822,0.000834822,0.000834822
65,344.68,0.60265,0.69118,0.96887,0.7119,0.69421,0.70578,0.51198,1.0432,1.3721,1.44399,0.00082539,0.00082539,0.00082539
66,349.655,0.61121,0.70809,0.98864,0.83989,0.66277,0.74025,0.53754,1.03081,1.30655,1.43614,0.000815959,0.000815959,0.000815959
67,355.37,0.61343,0.67955,0.98228,0.83052,0.61708,0.7424,0.53838,0.97114,1.1395,1.34973,0.000806528,0.000806528,0.000806528
68,360.367,0.62668,0.6933,0.98976,0.73579,0.66002,0.7123,0.50819,1.04154,1.19074,1.40464,0.000797096,0.000797096,0.000797096
69,365.927,0.5862,0.68546,0.97136,0.8075,0.67286,0.71557,0.4997,1.08868,1.39261,1.49393,0.000787665,0.000787665,0.000787665
70,371.3,0.57684,0.69296,0.96647,0.82389,0.72996,0.74023,0.53357,0.89165,1.35095,1.27396,0.000778233,0.000778233,0.000778233
71,376.072,0.55628,0.68611,0.95274,0.76643,0.67,0.72469,0.52045,0.9464,1.32956,1.35262,0.000768802,0.000768802,0.000768802
72,381.519,0.59008,0.656,0.97719,0.75266,0.60306,0.68655,0.51388,0.97177,1.22993,1.36848,0.000759371,0.000759371,0.000759371
